,scores,features
0,0.07366762105471811,age
1,0.0016642166309533187,credit in default
2,0.07651675498313235,account balance
3,0.027798366035249177,housing loan
4,0.0098915719761527,personal loan
5,0.06595591930764613,last contact day
6,0.3410972501251343,last contact duration in seconds
7,0.03458035113963618,number of contacts
8,0.033827356757864746,days since last contact
9,0.023902410168794533,number of contacts before current campaign
10,0.006871238986358195,job_admin.
11,0.008014412362749518,job_blue-collar
12,0.0032237650765774483,job_entrepreneur
13,0.0025902248252110223,job_housemaid
14,0.007450264593190889,job_management
15,0.004489628218157759,job_retired
16,0.0034433691597872025,job_self-employed
17,0.005347322420116088,job_services
18,0.003688521300270411,job_student
19,0.00816865744572716,job_technician
20,0.003633870339552494,job_unemployed
21,0.0009685952889983567,job_unknown
22,0.005136120360539044,marital status_divorced
23,0.008840023921152556,marital status_married
24,0.008195791281998181,marital status_single
25,0.005878938512945073,education level_primary
26,0.008534686968190734,education level_secondary
27,0.008766716084768061,education level_tertiary
28,0.0038057336079567686,education level_unknown
29,0.017405944953148192,contact type_cellular
30,0.004294213484693111,contact type_telephone
31,0.028131644005274084,contact type_unknown
32,0.012287516452450173,last contact month_apr
33,0.009969875439211224,last contact month_aug
34,0.002388928105291772,last contact month_dec
35,0.007784878992772967,last contact month_feb
36,0.0049093049536373,last contact month_jan
37,0.009338983546467932,last contact month_jul
38,0.00999954001237874,last contact month_jun
39,0.01189202475551144,last contact month_mar
40,0.01333121018861248,last contact month_may
41,0.008407239981743983,last contact month_nov
42,0.010901161389476282,last contact month_oct
43,0.006137172513731725,last contact month_sep
44,0.007316586080646708,outcome of previous marketing campaign_failure
45,0.0097486818169265,outcome of previous marketing campaign_other
46,0.02980539439449704,outcome of previous marketing campaign_success
